CHROM POSITION	GENE	library_15
10_11683068_11699763	LOC415472	0.33521
10_11716217_11718429	MESDC1	16.04820
10_11718741_11721718	LOC415474	0.69109
10_11728513_11734390	MESDC2	35.97750
10_11737234_11840252	KIAA1199	0.94046
10_11795534_11844260	TMEM2	2.71747
10_11847189_11847377	-	146.74100
10_11847473_11877912	ABHD17C	17.21350
10_1186454_1220944	BBS4	0.65038
10_11887043_11891978	LOC101749939	0.00000
10_11901217_11994240	ARNT2	7.33533
10_12022571_12055481	LOC770268	0.00000
10_12059544_12070369	FAH	56.29550
10_12073349_12112974	ZFAND6	32.12550
10_12129781_12131797	BCL2A1	6.14818
10_12134398_12155503	MTHFS	14.35860
10_12155610_12186434	LOC770352	0.15132
10_12188609_12204731	LOC101750317	0.00000
10_1223158_1234987	ADPGK	10.26270
10_12234923_12238115	LOC101750360	0.00000
10_12243796_12252119	KIAA1024	0.00000
10_12308249_12313558	PEX11A	0.60205
10_12315434_12319628	PLIN1	0.16726
10_12320279_12329790	KIF7	6.35888
10_12330736_12347339	C10H15ORF42,LOC101749425	10.35980
10_1235068_1311966	LOC101749321	0.03195
10_12352255_12360181	RHCG	0.00000
10_12437000_12445521	POLG	9.73689
10_12445138_12467989	FANCI	3.71887
10_12468869_12473059	RLBP1	0.00000
10_12474605_12514232	ABHD2	23.12260
10_12525827_12533216	MFGE8	71.39570
10_12535446_12539428	HAPLN3	0.00000
10_12540429_12583605	ACAN	0.05194
10_12623999_12626689	AEN	18.83640
10_12627131_12627196	MIR1720	0.00000
10_12627266_12627365	MIR7-2	0.00000
10_12627270_12627361	MIR3529	0.00000
10_12635773_12640604	LOC101751360	0.00000
10_12642017_12664397	DET1	7.73634
10_12663653_12667185	MRPS11	23.49050
10_12667214_12669762	MRPL46	21.49590
10_12675277_12693343	LOC101751754	0.45542
10_12695674_12701617	LOC101751792	0.00000
10_12720616_12898583	NTRK3	0.00000
10_13115644_13402797	AGBL1	0.58682
10_1314764_1514687	NEO1	3.57416
10_13447548_13461461	KLHL25	16.49940
10_13461550_13461977	-	26.55400
10_13467116_13536691	AKAP13	28.83980
10_135425_135743	LOC100857215	0.00000
10_13554947_13625417	LOC101752214	17.72110
10_13637347_13638601	LOC101752181	0.00000
10_13673654_13677836	LOC101747292	0.00000
10_13679643_13728177	SV2B	6.53458
10_13815490_13835875	LOC101747399	0.11866
10_13838145_13949709	SLCO3A1	1.55952
10_139622_139694	TRNAQ-CUG	0.00000
10_13977809_13994169	LOC101747558	0.00000
10_13995207_14019480	ST8SIA2	8.43033
10_14036827_14037412	-	13.81240
10_14037462_14037997	-	18.88080
10_14038597_14055900	FAM174B	12.35950
10_14055920_14077597	LOC101747585	0.00000
10_14084888_14110983	CHD2	3.80003
10_14111802_14165706	CHD2	4.80179
10_14120976_14125902	LOC101747724	1.08420
10_14127513_14127595	MIR1611	0.00000
10_14169409_14183205	RGMA	1.79272
10_14190819_14202812	LOC100858322	0.00000
10_14224462_14233298	LOC101747912	0.05360
10_14308097_14310310	LOC101747955	0.00000
10_14375372_14438136	LOC101748002	0.00000
10_14461125_14573681	LOC426324	2.45759
10_14588479_14597509	LOC101748250	2.53655
10_14606676_14607844	LOC101748299	0.00000
10_14917657_15173915	LOC101748407	0.00000
10_1515861_1515957	MIR1623	0.00000
10_1527176_1670411	HCN4	0.11280
10_15327899_15328126	-	84.04800
10_15328207_15336090	NR2F2	57.62250
10_15340969_15347977	LOC101748621	0.00000
10_15365467_15365556	MIR1680	0.00000
10_15388505_15407274	LOC101749500	0.00000
10_15409011_15416739	LOC768429	0.00000
10_1581066_1583339	LOC101749498	0.49979
10_15823203_15841937	LOC101748903	0.00000
10_15904044_15913364	LOC101748859	0.27485
10_15915266_15953961	LOC101748819	0.92362
10_15958077_15967266	ARRDC4	15.81620
10_16026362_16095959	LOC101748692	0.00000
10_16080571_16080645	MIR1813-2	0.00000
10_16123495_16167122	FAM169B	3.42566
10_16161529_16172608	PGPEP1L	0.20838
10_16180675_16320955	IGF1R	5.84788
10_16351231_16360013	LOC101749171	0.00000
10_16360183_16380624	SYNM	4.17786
10_16400549_16449276	LRRC28	13.28500
10_16449327_16449586	-	65.33290
10_16451966_16496725	LOC101749253	0.06680
10_16497420_16572277	MEF2A	13.33230
10_16572330_16572749	-	21.42100
10_16572972_16573829	-	16.61950
10_16574463_16574777	-	38.00800
10_16575377_16575470	MIR1737	0.00000
10_16575677_16763594	ADAMTS17,LYSMD4	15.91020
10_1670587_1688704	C10H15ORF60	0.00000
10_16779817_16819016	CERS3	0.00000
10_16824158_16836886	LINS	0.54589
10_16837052_16865516	ASB7	6.16120
10_1687511_1734526	NPTN	27.89260
10_16887460_16892815	LOC101750027	0.00000
10_16896889_16908119	LOC101750074	0.17790
10_16932374_16967358	ALDH1A3	49.96670
10_16968988_17037321	LOC101750259,LRRK1	1.62276
10_17039696_17095709	CHSY1	24.30630
10_17101388_17105566	LOC101750410	0.21194
10_17108665_17115643	VIMP	153.79300
10_17115824_17120865	SNRPA1	48.13230
10_17123729_17146655	PCSK6	9.40190
10_17158936_17185201	PLEKHO2	2.01157
10_17199729_17220109	ANKDD1A	0.00000
10_17214063_17223522	SPG21	37.38570
10_17224899_17258959	CLPX,PDCD7	44.46550
10_17260299_17263786	KBTBD13	0.70110
10_17264691_17272005	RASL12	0.00000
10_17269570_17279628	OSTBETA	51.04740
10_17280384_17285281	MTFMT	7.31954
10_17289611_17300070	CILP	0.08301
10_17307280_17309629	CGNRH-R	1.06769
10_17314086_17317364	PARP16	3.62168
10_17332829_17420731	IGDCC3	2.17819
10_17345593_17345685	MIR1722	0.00000
10_17425154_17505495	IGDCC4	2.35531
10_1749671_1758038	CD276	11.20810
10_17516308_17541066	DPP8	5.64791
10_17541586_17551231	PTPLAD1	85.51060
10_17551408_17561266	C10H15ORF44	10.53290
10_17564941_17579916	SLC24A1	0.00000
10_17580962_17628407	DENND4A	5.99782
10_1761977_1764988	ZP3L2	0.00000
10_17645813_17645885	TRNAQ-CUG	0.00000
10_17646168_17662292	RAB11A	72.65260
10_17662128_17938187	MEGF11	0.00000
10_1773413_1781476	C10H15ORF59	1.89103
10_17938719_17954161	DIS3L	15.29220
10_17954710_17962115	TIPIN	11.24690
10_17960973_17962670	LOC101749757	0.00000
10_17965072_17996406	MAP2K1	40.98990
10_17997036_17999465	SNAPC5	5.08708
10_18000213_18005535	RPL4	720.14100
10_18005938_18024168	ZWILCH	2.40695
10_18014924_18020472	LOC101747533,LOC769607	0.00000
10_18170648_18198310	SMAD6	11.31470
10_1821222_1829561	LOC415312	0.00000
10_18283553_18348003	SMAD3	51.01830
10_1830469_1838998	LOXL1	6.27547
10_18347969_18367858	AAGAB	0.00000
10_18349510_18351583	-	10.55620
10_18367934_18426730	LOC415554	1.96142
10_1839703_1850698	MUC1	0.00000
10_18430847_18553752	C10H15orf61,MAP2K5	14.57860
10_18561844_18561918	MIR1642	0.00000
10_18576426_18624861	PIAS1	3.77962
10_1860043_1879146	PPCDC	2.00372
10_18629342_18632005	CALML4	58.28630
10_18632519_18638897	CLN6	10.44530
10_18641301_18648029	FEM1B	34.85700
10_18649054_18699980	ITGA11	0.00000
10_18699159_18726749	CORO2B	0.00000
10_18730551_18750042	ANP32A	69.53060
10_18753222_18753679	-	20.80380
10_18753745_18754338	-	12.68280
10_18754524_18755288	-	11.74550
10_18755383_18755725	-	23.66660
10_18769205_18769759	-	10.33740
10_18770470_18776327	NOX5	0.15878
10_18781098_18816905	GLCE	13.50570
10_1879817_1884309	SCAMP5	19.47210
10_18820928_18828329	PAQR5	0.58034
10_18828577_18846367	KIF23	5.39206
10_18850853_18864423	LOC101749125	0.05735
10_1887413_1889285	RPP25	0.00000
10_18903290_18918945	LOC101749172	0.00000
10_1891887_1896140	COX5A	288.83300
10_18938037_18939323	LOC100859437	0.00000
10_18954303_18956154	LOC101749254	0.00000
10_18967657_18988294	TLE3	15.51920
10_1896842_1899225	FAM219B	4.61147
10_1899215_1902097	MPI	17.77440
10_1900844_1900908	MIR2128	0.00000
10_1905181_1911186	SCAMP2	53.17890
10_19063211_19067309	LOC101749293	0.00000
10_19101189_19120792	UACA	65.17990
10_1911521_1917111	ULK3	11.16720
10_19142698_19164790	MORF4L1	63.98320
10_19165059_19165132	-	0.00000
10_19167203_19212692	ADAMTS7	0.27542
10_1918366_1920348	CPLX3	7.31002
10_19220193_19224713	FAM96A	22.17370
10_19225150_19251617	SPG11	6.11487
10_19252166_19260933	EIF3J	112.45600
10_1925238_1925474	-	87.47050
10_1926010_1933567	CSK	60.08990
10_19263031_19263593	-	13.78130
10_19265370_19300957	CTDSPL2	10.30680
10_19310280_19330984	CASC4	98.30020
10_19351186_19392428	FRMD5	0.33337
10_1938194_1941050	CYP1A1	22.65430
10_19393140_19399882	WDR76	7.10666
10_19400596_19416640	BLM	6.43606
10_19416852_19422774	CTSH	30.75240
10_19423310_19441966	RASGRF1	0.48822
10_1943041_1946667	CYP1A4	5.59288
10_19436202_19438940	LOC101750028	0.00000
10_19462849_19462923	MIR184	0.00000
10_19471335_19475695	ANKRD34C	0.00000
10_1947365_1972204	EDC3	24.45770
10_19476145_19478072	TMED3	12.97260
10_19479074_19481383	GNRHR	0.00000
10_19482376_19483861	MESP2	0.00000
10_19485867_19488333	LOC100858087	0.48074
10_19488688_19494098	ANPEP	32.60730
10_19497716_19501385	AP3S2	12.12820
10_19513685_19519689	ZNF710	7.96024
10_19519614_19522933	IDH2	61.22430
10_19523143_19535987	SEMA4B	14.93510
10_19536999_19539566	CIB1	68.13370
10_19539709_19553177	C10H15ORF58,LOC100858151	4.36524
10_19554468_19568333	PRC1,VPS33B	78.84910
10_19568293_19571014	RCCD1	0.00000
10_19569760_19570588	-	10.01360
10_19571187_19577298	UNC45A	19.51560
10_19577590_19579226	LOC101751992	0.00000
10_19579338_19586460	MAN2A2	5.35727
10_19587022_19592855	FES	0.00000
10_19595669_19605068	FURIN	14.60320
10_19610669_19614413	MFAP1	25.12010
10_19614937_19615950	HYPK	110.00000
10_19616514_19620253	SERINC4	30.15340
10_19620671_19622670	LOC100858360	10.14630
10_19626177_19635090	PDIA3	430.45900
10_19638522_19641541	CKMT1A	1.27830
10_19647619_19687055	PPIP5K1	2.54449
10_19689044_19739132	MAP1A	3.06708
10_1972586_1973709	-	13.23980
10_1974015_1982149	CLK3	7.92354
10_19747193_19778344	TP53BP1	17.45960
10_19778487_19790861	TUBGCP4	24.19160
10_19795343_19845401	IQGAP1	33.66400
10_1985995_2011307	ARID3B	5.01711
10_19861318_19864821	LOC101748538	0.00000
10_19873440_19876492	LOC101748597	1.99073
10_20065_23450	LOC101748110	0.15864
10_2013921_2015913	ACTG1	184.81800
10_2016797_2021942	UBL7	13.42170
10_2032588_2054936	SEMA7A	2.56976
10_2048858_2048956	MIR1794	0.00000
10_2058657_2062873	CYP11A1	2.96625
10_2062864_2066903	CCDC33	0.00000
10_2073360_2106630	ISLR2	0.00000
10_2087097_2097468	STRA6	0.12868
10_2098670_2102672	ISLR	0.00000
10_2111045_2115120	PML	7.27889
10_2115124_2118213	STOML1	4.14739
10_2118314_2125393	LOC100857563	1.22554
10_2126046_2130354	ZP3L1	0.60390
10_2131956_2134353	ZP3	0.27962
10_2135220_2136945	COMMD4	36.93610
10_2137427_2141462	NEIL1	6.37713
10_2141626_2154377	MAN2C1	1.79681
10_2154816_2177355	SIN3A	12.04000
10_2181106_2186315	PTPN9	6.91278
10_2187842_2196615	SNUPN	8.81180
10_2196839_2200565	SNX33	26.50400
10_2203361_2221583	CSPG4	0.65850
10_2245920_2332935	LINGO1	1.05440
10_2458663_2495861	HMG20A	4.55741
10_2514044_2535691	LOC101747496	0.00000
10_2559128_2590299	PEAK1	13.82980
10_2587689_2610786	LOC101747398	6.57180
10_2604535_2636391	TSPAN3	114.78400
10_2640642_2677927	PSTPIP1	0.00000
10_2640871_2848150	SCAPER	8.80205
10_268874_268946	-	0.00000
10_2695406_2706088	RCN2	53.52680
10_276436_277408	COR7A	0.00000
10_283167_294872	OR12D2	0.00000
10_2858628_2890313	ETFA	47.13040
10_2860297_2861139	-	9.79383
10_2888821_2968013	C15ORF27	0.00000
10_2967596_2989157	NRG4	1.26392
10_2992147_2998371	FBXO22	30.90980
10_2999289_3041483	UBE2Q2	17.22750
10_3104236_3115886	CHRNB4	0.00000
10_3122060_3127878	CHRNA3	0.00000
10_312250_314835	LOC100857343	0.00000
10_3130408_3151468	CHRNA5	0.58669
10_3146549_3151657	PSMA4	65.49340
10_3151804_3156695	AGPHD1	1.96913
10_3160488_3182344	IREB2	15.26880
10_318628_319594	OR10A7	0.00000
10_3197349_3210246	CRABP1	0.53215
10_3229279_3236969	WDR61	15.18020
10_3237486_3243075	DNAJA4	217.03000
10_3247383_3277973	ACSBG1	0.00000
10_327159_328661	LOC101750836	0.00000
10_3277174_3287738	IDH3A	14.41610
10_3289530_3321657	CIB2	0.83885
10_333391_334311	OR10A4	0.00000
10_3335700_3365858	TBC1D2B	2.45772
10_3367478_3414401	DAPK2	0.40524
10_338050_338124	TRNAI-AAU	0.00000
10_338321_338393	-	117.19100
10_342364_350825	MZT2B	3.17216
10_3433420_3529022	HERC1	2.52346
10_34966_39889	LOC101747894	0.00000
10_3530755_3536897	FBXL22	0.49387
10_3537101_3573966	USP3	8.40676
10_354740_372305	SHF	10.37200
10_3574097_3575920	LOC101749036	0.00000
10_3588466_3607334	CA12	0.00000
10_360171_360231	MIR1670	4460.64000
10_3612032_3639808	RAB8B	14.15710
10_3643751_3647733	RPS27L	52.16960
10_3651137_3658011	LACTB	5.68636
10_3658086_3667112	LOC101749499	0.76418
10_3667261_3685497	TPM1	21.07940
10_3756802_3900816	TLN2	1.33953
10_3767387_3767472	MIR190	0.00000
10_379798_379870	-	0.00000
10_380327_380399	-	0.00000
10_380525_388631	SLC28A2	1.11370
10_388932_419231	ALPK3	0.05899
10_3925456_3927295	LOC427491	0.48501
10_3948187_3953263	LOC101749938	0.74410
10_3952380_4034729	VPS13C	0.70762
10_4037017_4040404	LOC101750054	0.00000
10_4100050_4103609	LOC101750100	0.00000
10_4154726_4187477	LOC101750137	0.00000
10_4187634_4536712	RORA	0.31286
10_425892_451642	MALT1	4.34544
10_42820_45247	LOC101748247	0.00000
10_4546485_4571961	NARG2	0.51840
10_4583466_4605541	ANXA2	92.94490
10_45869_63211	LOC768553	0.00000
10_465267_466574	LOC100858436	0.00000
10_466667_500501	ZNF592	4.35973
10_4747574_4749764	FOXB1	0.00000
10_4872896_4891953	BNIP2	3.41607
10_4892732_4897305	GTF2A2	11.03670
10_4903853_4905209	GCNT3	0.00000
10_4942917_4944934	LOC101750921	0.00000
10_4985026_5044788	OTUD7A	1.16227
10_501205_510372	SEC11A	57.82420
10_5057243_5065394	LOC101751108	0.00000
10_5070241_5100747	KLF13,LOC101751144	1.20991
10_5073939_5085701	LOC101751201	0.06324
10_5142726_5226147	TRPM1	0.00000
10_5189798_5189872	MIR1574	0.00000
10_5190071_5190172	MIR204-2	0.00000
10_520506_523782	NMB	0.74075
10_5230338_5268528	MTMR10	5.58960
10_524988_566229	DUOX2	0.06949
10_5268928_5287557	FAN1	3.61163
10_5287657_5294223	MPHOSPH10	21.57070
10_529436_534703	DUOXA1	0.00000
10_5294516_5302825	MCEE	0.00000
10_5307068_5395570	APBA2	1.15448
10_535861_544496	DUOXA1L	0.00000
10_5396665_5497760	FAM189A1	0.39239
10_5523495_5593769	TJP1	4.66021
10_5606227_5610595	LOC771170	0.00000
10_566644_583577	SORD	5.00265
10_5713898_5729499	TARSL2	2.37414
10_5729933_5734913	TM2D3	3.37148
10_5735056_5743905	ADAL	0.85244
10_5746910_5754751	LARP6	2.33001
10_5754622_5795746	LRRC49	0.00000
10_5833833_6197717	LOC101748800,THSD4	0.36110
10_598485_620033	RBPMS2	0.56050
10_6158942_6198977	CHRNA7	0.50695
10_6208725_6312995	MYO1E	5.06216
10_6216446_6227587	FAM81A	0.91008
10_630518_638328	LOC101751773	0.08858
10_6314063_6321142	CCNB2	44.01440
10_6322554_6364720	RNF111	6.95836
10_6361919_6366266	LOC101748860	0.00000
10_6373349_6396069	SLTM	12.51850
10_638488_648159	OAZ2	19.54950
10_6402382_6432687	FAM63B	31.76670
10_6433483_6437376	LOC101747911	0.70011
10_6445335_6476912	ADAM10	32.13910
10_6478064_6520992	LIPC	1.86880
10_649615_713849	TRIP4,ZNF609	26.63470
10_6569883_6596920	AQP9	2.91344
10_6607107_6661316	ALDH1A2	5.64364
10_6744857_6799299	GCOM1	5.39860
10_6815705_6869816	CGNL1	0.00000
10_6867694_6904765	LOC101748973	0.00000
10_6903215_7053632	TCF12	227.04500
10_6905658_6905870	-	96.18100
10_6907568_6908014	-	14.95310
10_6983307_6988124	LOC101748406	0.07320
10_7090103_7137469	ZNF280D	4.32754
10_715190_802067	CSNK1G1,KIAA0101	42.60070
10_7157686_7164093	LOC426295	0.00000
10_7162273_7183934	TEX9	0.00000
10_7183855_7260661	RFXDC2	10.12270
10_72434_98054	LOC100857180	0.20282
10_7266796_7315971	NEDD4	11.16970
10_7316198_7316937	-	10.45030
10_7331073_7416677	PRTG	0.55040
10_7427046_7435865	PYGO1	3.06935
10_7444558_7452475	DYX1C1	1.44043
10_7454664_7473825	CCPG1	53.77980
10_7473770_7482895	PIGB	0.00000
10_7484194_7514496	RAB27A	56.36700
10_7515844_7524331	LOC768911	35.75170
10_7599475_7605572	LOC768953	0.00000
10_7641753_7801294	LOC415414,UNC13C	0.64111
10_7807755_7911941	WDR72	0.52737
10_802068_804399	LOC101752125	6.18379
10_8036741_8037516	LOC101749831	0.00000
10_806483_807466	PPIB	536.31100
10_807598_809433	SNX22	0.77105
10_809526_820308	SNX1	33.65200
10_8161732_8163097	-	19.54340
10_8163165_8163632	-	26.26630
10_8163850_8165077	-	18.64410
10_8166092_8166606	-	25.46570
10_8168088_8168398	-	36.27110
10_8174136_8180597	LOC101749877	0.05340
10_8193074_8224908	FAM214A	11.04930
10_821651_827574	PATL2	0.72588
10_8227076_8238446	ARPP19	61.20460
10_8227917_8228377	-	16.70490
10_8240551_8332252	MYO5A	5.17773
10_827718_833805	B2M,C10H15orf43	85.01080
10_8334674_8365618	MYO5C	0.09842
10_834929_836459	RPS17L	909.09100
10_8367825_8393383	GNB5	0.22677
10_837596_863233	CPEB1	0.48285
10_8396897_8398137	NR13	76.17980
10_8399755_8412715	LOC415418	0.42375
10_8418103_8446458	MAPK6	332.69400
10_8493508_8507039	LEO1	9.47905
10_8508439_8509885	-	27.27070
10_8509942_8510312	-	53.40460
10_8510681_8533995	TMOD3	28.05080
10_8533449_8568258	LOC101749150,TMOD2	0.00000
10_8581101_8591479	LYSMD2	22.27520
10_8595777_8621390	SCG3	49.23100
10_8625143_8643957	AP4E1	3.46715
10_863825_874804	AP3B2	0.09680
10_8645990_8687574	TNFAIP8L3	1.32277
10_869889_869960	MIR1688	0.00000
10_8712427_8726241	CYP19A1	0.00000
10_8745298_8762991	GLDN	0.31276
10_8763092_8813764	DMXL2	2.00719
10_885478_887463	LOC415325	0.00000
10_890805_892926	LOC415324	0.00000
10_895999_899682	NR2E3	0.00000
10_899893_1036061	MYO9A	8.39397
10_9404624_9418583	SEMA6D	0.71372
10_9412310_9412399	MIR1744	0.00000
10_9545023_9552992	SLC24A5	0.00000
10_9551607_9570906	MYEF2	10.66350
10_9576810_9581645	LOC100859495	0.00000
10_9584213_9633353	SLC12A1	0.66122
10_9639941_9649503	DUT	5.03692
10_9672111_9805185	FBN1	7.43039
10_9823124_9827516	LOC101751441	0.00000
10_9836878_9839843	LOC101749273	1.14999
10_9846150_9868081	CEP152	4.02207
10_9870124_9896821	SHC4	3.15618
10_9899702_9925296	SECISBP2L	20.31970
10_9932683_9953887	COPS2	33.65800
10_9954984_10004823	GALK2	6.17934
10_random_37317_38599	LOC101750936	4.54694
10_random_87827_92821	LOC100857252	3.49891
11_10016711_10144462	CHST8	0.00000
11_1005505_1011308	TMEM208	40.30320
11_1011957_1023259	KIAA0895L	1.27753
11_101607_118738	LOC101751029	0.00000
11_10168413_10219357	KCTD15	2.87802
11_10219748_10220162	-	15.66440
11_10220728_10350372	LOC415780	5.85842
11_1030246_1036713	LCAT	5.23954
11_10356454_10375087	LSM14A	70.58100
11_1036882_1036955	-	0.00000
11_10373016_10373195	-	175.37200
11_10375339_10389113	SS18L2	9.51418
11_10377519_10420236	KIAA0355	2.68220
11_1039247_1057230	LOC415661,LOC415662,LOC769668	97.27920
11_10450874_10471701	GPI	611.14100
11_10523622_10597868	WTIP	1.00573
11_1059305_1060354	LOC101747680	5.70887
11_10605565_10619190	UBA2	5.45595
11_10624073_10629096	PDCD2L	2.04252
11_10631032_10639528	CES1	13.92690
11_1064181_1067065	LOC415664	0.43789
11_10642617_10655640	LOC415787	12.78670
11_10655816_10670825	FAM96B	14.43210
11_10672963_10678573	RRAD	0.99581
11_10704886_10725800	LOC769444	0.00000
11_10725863_10750902	LOC100858078	0.00000
11_1074107_1093105	FAM65A	1.68192
11_10760269_10765133	PDP2	8.53785
11_10772933_10786903	CA7	0.00000
11_10786609_10798981	NAE1	6.18876
11_10799330_10799426	MIR1634	0.00000
11_10799874_10814382	CCDC79	0.60934
11_10817082_10842252	DYNC1LI2	15.28600
11_10842493_10844276	-	11.87040
11_10854589_10888642	CMTM4	11.48830
11_10889336_10889911	-	10.63860
11_10892856_10903373	CMTM3	5.27684
11_10903704_10906359	CKLF	8.43288
11_10906479_10917657	TK2	13.48870
11_10919526_10923451	LOC101749275	12.54940
11_10927994_10965448	BEAN1	3.21617
11_1093179_1093539	-	23.12290
11_1093906_1094304	-	22.03730
11_1094583_1094807	-	87.84170
11_1097768_1128266	CTCF	36.43620
11_10982214_11011468	CDH5	0.00000
11_11030388_11381642	LOC101749559	0.00000
11_11227920_11322589	LOC100858757	0.00000
11_1130090_1147559	RLTPR	0.00000
11_1147523_1154742	ACD	15.22480
11_1154763_1160163	LOC100857820	5.44581
11_11582883_11662192	CDH11	0.00000
11_1160263_1164866	LOC101748539	0.19881
11_11638325_11641271	LOC101749359	0.00000
11_1165617_1178012	AARS	97.23370
11_1178593_1179158	-	27.33360
11_1179328_1183152	LOC100857843	1.38867
11_1183401_1188267	CLEC18A	0.26464
11_11849995_11855547	LOC101749603	0.00000
11_1189414_1193614	LOC427533	0.30631
11_1193804_1211410	ZDHHC1	0.80940
11_1214110_1215453	TPPP3	0.00000
11_1223834_1237296	KCTD19	0.00000
11_12288496_12432363	CDH8	0.00000
11_1237539_1314458	PLEKHG4	2.74292
11_1261869_1261963	MIR1616	0.00000
11_13148102_13150106	LOC101750318	0.00000
11_13201250_13201554	-	35.00550
11_1324954_1335721	LOC425403	0.04311
11_13253735_13323497	ADAMTS18	0.14034
11_1336849_1351341	FHOD1	0.43944
11_13415856_13423362	LOC769866	0.00000
11_13424045_13427036	LOC415800	15.51790
11_13444026_13488784	VAT1L	3.36218
11_13502851_13509812	CLEC3A	0.00000
11_13522704_13995483	WWOX	26.07840
11_1355037_1364265	LOC100858361	0.65803
11_1364352_1388745	ATP6V0D1	20.56280
11_1389698_1391291	AGRP	1.11884
11_1394146_1398652	LOC769873	0.80673
11_1398746_1398819	-	0.00000
11_1399014_1403083	LOC101750922	12.22710
11_13994541_14154278	MAF	6.36747
11_1404310_1457830	CNOT1	54.66020
11_14155176_14158597	LOC100858311	0.00000
11_14158646_14161993	LOC101750575	0.00000
11_143418_253086	SMPD3	5.62948
11_1457772_1460832	LOC101749601	0.00000
11_14589533_14594266	DYNLRB2	0.92652
11_1460061_1465514	SLC38A7	21.80910
11_14645465_14731200	LOC101750706	0.00000
11_1466328_1476933	GOT2	128.87400
11_14761129_14788590	CDYL2	2.18382
11_1479376_1483925	CALB2	0.00000
11_14824885_14833749	C16ORF61	19.43560
11_14834308_14840371	CENPN	8.31034
11_14841772_14855528	ATMIN	11.18110
11_1485159_1493235	PNP	0.00000
11_14866922_14867668	-	12.13570
11_14867792_14868247	-	15.72730
11_14868577_14868986	-	22.46380
11_14874602_14881948	GCSH	46.66100
11_14882049_14915275	LOC100858437	0.00000
11_14922968_14936617	BCMO1	0.23091
11_14938720_14971667	GAN	7.57683
11_14971980_14972819	-	16.57280
11_14974203_14974745	-	23.35540
11_14994768_14995058	-	39.78940
11_14995240_15117707	CMIP	23.56530
11_1501007_1510250	FTSJD1	3.12324
11_15138477_15195556	PLCG2	2.83957
11_15197571_15199907	SDR42E1	1.31357
11_15211724_15221246	HSD17B2	0.00000
11_15247234_15256140	NAT,PNAT3	10.30930
11_15256400_15256933	-	9.99771
11_15257512_15262027	PNAT10	4.87771
11_15266285_15273462	MPHOSPH6	70.13000
11_15278556_15311733	LOC101751322	0.00000
11_15314147_15428186	LOC101751361	0.00000
11_1537261_1641091	HYDIN	0.06554
11_15430488_15845334	CDH13	0.64198
11_15852014_15986991	LOC101751407	0.11730
11_16006607_16027279	MLYCD	9.30009
11_16059621_16078898	LOC101751499	0.00000
11_16080629_16087912	LOC101751585	0.00000
11_16093278_16095109	HSBP1	81.15710
11_16123765_16141010	KCNG4	0.19297
11_16166617_16167754	LOC101751692	0.00000
11_16191242_16203598	WFDC1	0.00000
11_16205008_16229125	ATP2C2	0.00000
11_16229068_16241357	KIAA1609	3.14833
11_16274648_16282313	LOC101752085	0.00000
11_16283505_16301508	COTL1	83.48870
11_16301807_16316669	KLHL36	8.18750
11_16317184_16317607	-	19.52790
11_16318081_16318444	-	24.75990
11_16340218_16369658	USP10	125.74700
11_16374613_16399785	CRISPLD2	0.37688
