GENE	CHROM POSITION	library_15
ABCC3	18_10414945_10446144	1.88931
ABCC4	1_145358359_145507929	13.80950
ABCC5	9_15202299_15240755	14.96150
ABCC6	14_7680157_7703987	0.94403
ABCC8	5_11253435_11318516	0.25579
ABCC9	1_67019854_67094843	0.10909
ABCD2	1_15080340_15123368	18.02420
ABCD3	8_12494504_12520891	9.00286
ABCD4	5_37135240_37149465	16.22250
ABCE1	4_30460598_30470725	32.08030
ABCF2	2_127312_137435	245.01400
ABCF3	9_15316691_15324590	29.92690
ABCG1	1_108646585_108706402	0.33299
ABCG2	6_17099369_17116656	3.54685
ABCG4	24_4266919_4276494	0.07036
ABCG5	3_24569700_24585942	0.12246
ABCG8	3_24586007_24599640	0.00000
ABHD10	1_87937474_87945577	2.56628
ABHD11	19_710546_714282	0.32065
ABHD12	3_4136203_4164017	26.58240
ABHD12B	5_57852167_57856958	14.79510
ABHD13	1_139463674_139471654	6.80319
ABHD14A	12_3130957_3132061	0.43731
ABHD17B	Z_35460932_35477904	9.23988
ABHD17C	10_11847473_11877912	17.21350
ABHD2	10_12474605_12514232	23.12260
ABHD3	2_102105272_102127329	1.89589
ABHD5	2_41433099_41462706	14.35430
ABHD6	12_8930122_8940408	0.78666
ABHD8	Un_34759004_34766430	1.78783
ABI1	2_15897346_15977667	41.61250
ABI2	7_13098753_13154402	21.30670
ABI3,LOC101750432	27_3417364_3426347	2.91330
ABI3BP	1_84388516_84521565	0.19410
ABL1	17_5972506_6037294	16.76430
ABL2	8_6206921_6222818	9.08389
ABLIM1	6_27359326_27535297	4.36147
ABLIM2	4_80232933_80370013	1.41976
ABLIM3	13_7884126_7919399	0.00000
ABP1	2_337780_341742	2.05331
ABRA	2_130780592_130786075	0.00000
ABTB1	12_9657985_9685150	5.44185
ABTB2	5_17829600_17957854	1.84622
ACAA1	2_4697287_4705362	34.82530
ACAA2	Z_985734_998075	68.68240
ACACA	19_8445783_8545661	19.94310
ACACB	15_6649692_6670782	1.41534
ACAD10	15_6189607_6201514	0.00000
ACAD11	2_42887426_42915571	15.27240
ACAD8	24_2558608_2565333	6.67675
ACAD9	12_5210374_5234530	75.17460
ACADL	7_2715639_2729329	84.16860
ACADS	15_9178188_9185762	15.30120
ACADSB	6_30967356_30984676	14.01400
ACAN	10_12540429_12583605	0.05194
ACAP2	9_12171477_12228188	8.60437
ACAP3	21_2381134_2448545	6.38610
ACAT1	1_179590889_179603265	43.07020
ACAT2	3_44881985_44889927	594.45500
ACBD3	3_16453957_16471806	22.64580
ACBD5	2_15848487_15875311	10.71810
ACBD6	8_5890351_5957040	22.91750
ACBD7	2_20501826_20505072	79.99130
ACCN1	27_1767579_2179576	0.00000
ACCN2	LGE22C19W28_E50C23_307166_321959	0.00000
ACCS	5_21004097_21018245	2.51235
ACD	11_1147523_1154742	15.22480
ACE	27_2646483_2662837	1.44117
ACE2	1_121320728_121343016	0.59547
ACER1	28_1690933_1700919	0.00000
ACER2	Z_33602789_33623578	0.50367
ACER3	1_192519431_192578457	7.85885
ACHE	Un_6092051_6093125	1.51195
ACLY	27_4701284_4725026	321.24500
ACMSD	7_29940621_29960455	1.64009
ACN9	2_24607853_24634940	6.04946
ACO1	Z_70787482_70824265	36.74690
ACO2	1_49465616_49486044	57.34940
ACOT11	8_24131392_24140800	1.28072
ACOT12	Z_63526196_63557235	0.00000
ACOT4	5_25474093_25481243	0.10037
ACOT7	21_620033_626509	78.12100
ACOT8	20_10862049_10864460	20.62020
ACOT9	1_117766573_117787444	37.56410
ACOX1	18_4559815_4577806	53.84820
ACOX2	12_11822194_11836516	4.11944
ACOX3	4_80516699_80551836	0.92658
ACP1	3_91513890_91534696	61.37440
ACP2	5_22435276_22451191	13.89470
ACP6	1_91760583_91767782	6.83462
ACPL2	9_6327527_6374204	8.31216
ACPP	2_42792091_42813569	0.00000
ACR	1_111200_113704	0.00000
ACRBP	1_76520347_76539018	0.00000
ACRC	4_2168944_2177051	3.65983
ACSBG1	10_3247383_3277973	0.00000
ACSBG2	28_1630486_1646761	5.46748
ACSF2	18_10613067_10650162	3.91628
ACSF3	11_18035636_18076364	2.83110
ACSL1	4_38883036_38919987	16.24960
ACSL3	9_7564040_7590377	13.82950
ACSL4,LOC100858624	4_13721322_13762357	21.89360
ACSL5	6_26247719_26265498	43.85820
ACSL6	13_15984788_16020134	3.01500
ACSM3	14_14911988_14922356	3.34511
ACSM4	14_14464132_14479699	0.78869
ACSM5	14_14479993_14496413	0.42964
ACSS1	3_15185613_15221003	3.14564
ACSS2	20_2985489_3016738	17.94180
ACSS3	1_40046353_40123630	4.85469
ACTA1	3_39337938_39339803	1.23760
ACTA2	6_18777068_18782854	0.70720
ACTB,MIR3533	14_4169149_4172343	4977.54000
ACTBL2	5_17605704_17622163	0.00000
ACTC1	5_31546984_31551796	0.00000
ACTG1	10_2013921_2015913	184.81800
ACTG2	22_2803034_2805671	53.90340
ACTL6A	9_16911987_16921477	14.70930
ACTL9	28_1846864_1848492	0.00000
ACTN1	5_27492492_27573996	69.46250
ACTN2	3_36950411_37014344	0.00000
ACTN4	Un_10495984_10503793	59.82330
ACTR10	5_55174600_55183224	18.84970
ACTR1A	6_22705934_22720096	42.91010
ACTR2	3_9891300_9908291	118.60500
ACTR3	7_29113652_29140037	146.10300
ACTR3B	2_6790130_6814656	23.87930
ACTR5	20_4080900_4091178	9.88821
ACTR6	1_47062433_47071270	46.95600
ACTR8	12_7221993_7230244	6.76314
ACTRT2	21_1259129_1262318	0.00000
ACVR1	7_35757876_35778048	123.20800
ACVR1B	LGE22C19W28_E50C23_74_14797	16.95370
ACVR1C	7_35734502_35750697	2.28648
ACVR2A	7_34000196_34057768	43.25230
ACVR2B	2_5721431_5760535	0.67430
ACVRL1	Un_6402762_6409954	0.00000
ACY1	12_3126684_3130429	39.95820
ACYP1	5_37431801_37432761	23.56900
ACYP2	3_2811085_2857510	7.22767
ADA	20_5699880_5712517	6.56302
ADAD1	4_53143547_53154359	0.00000
ADAL	10_5735056_5743905	0.85244
ADAM10	10_6445335_6476912	32.13910
ADAM11	27_1256543_1265987	0.00000
ADAM12	6_32100204_32274136	0.51351
ADAM15	1_195254158_195273451	0.88748
ADAM17	3_95783837_95816292	17.62950
ADAM19	13_10642591_10669352	0.52632
ADAM20	15_6238874_6241333	0.14582
ADAM22	2_20749271_20857562	1.27079
ADAM23	7_11958077_12016336	1.29691
ADAM28	22_1041604_1059932	21.99820
ADAM32,LOC100859804,LOC101752185	22_2448457_2459662	0.83939
ADAM33	4_89090138_89113736	0.11871
ADAM5P	6_30933734_30949175	0.24116
ADAM8	6_8866594_8878791	0.00000
ADAM9	22_2428340_2443113	11.56200
ADAMTS1	1_102362804_102370903	0.16519
ADAMTS10	28_1743774_1791657	0.31387
ADAMTS12	Z_9997015_10166373	0.08841
ADAMTS13,LOC101748979	17_6906754_6925692	8.63719
ADAMTS14	6_11114450_11133500	0.21819
ADAMTS15	24_1673187_1684905	0.09151
ADAMTS17,LYSMD4	10_16575677_16763594	15.91020
ADAMTS18	11_13253735_13323497	0.14034
ADAMTS19	Z_45147187_45308762	2.11093
ADAMTS2	13_12982024_13149829	0.00000
ADAMTS20	1_29866388_29951385	1.72604
ADAMTS3	4_49892022_50020978	0.40822
ADAMTS5	1_102403268_102442752	0.14825
ADAMTS6	Z_20224904_20383649	0.54394
ADAMTS7	10_19167203_19212692	0.27542
ADAMTS8	24_1652513_1668365	0.06778
ADAMTS9	12_13714354_13779449	1.75309
ADAMTSL1	Z_32977022_33406922	0.04659
ADAMTSL2	17_6971598_6992503	56.77170
ADAMTSL3	10_10980796_11159360	0.07074
ADAMTSL5	28_3128595_3133315	0.34741
ADAP1	14_2184973_2224204	44.66810
ADAP2	18_6613302_6620299	0.41414
ADAR	25_1239387_1250968	46.37970
ADARB1	7_7256353_7332733	3.37685
ADARB2	2_10438698_10736432	0.00000
ADAT1	11_19322213_19342910	18.50820
ADAT2	3_51748117_51757662	2.62582
ADC	23_5281392_5287147	1.72275
ADCK1	5_38657379_38732535	10.95590
ADCK2	1_57042427_57053434	1.79007
ADCK3	3_11799999_11831850	39.12650
ADCY1	2_54792166_54966253	0.65446
ADCY10	Z_73254570_73268289	0.04921
ADCY2	2_79220943_79424429	0.00000
ADCY3	3_105072744_105086067	1.88259
ADCY5	7_26450754_26646187	3.08061
ADCY7	11_6008115_6066958	0.21115
ADCY8	2_140457643_140575891	52.31360
ADCY9	14_12591519_12649443	8.75517
ADCYAP1	2_101496301_101499251	1.02470
ADCYAP1R1	2_1370935_1469539	0.27132
ADD1	4_81861182_81918087	33.55250
ADD3	6_25264734_25352254	60.37910
ADH1C	4_59594457_59604965	34.55470
ADH5	4_59556244_59563863	177.00100
ADH6	4_59579734_59582899	21.91080
ADHFE1	2_114787519_114798824	4.69352
ADI1	3_93285939_93293123	14.90240
ADIPOQ	9_4729426_4731573	0.00000
ADIPOR1	26_1088477_1094154	35.94790
ADIPOR2	1_61067943_61110356	73.70760
ADIRF	6_2116585_2123938	0.36377
ADK	6_14666979_14924977	60.53030
ADM	5_8423162_8426168	1.00353
ADM2	1_595812_597104	3.02244
ADMP	28_899424_901661	1.08887
ADNP	20_13749751_13774050	94.06080
ADNP2	2_56150894_56169455	28.46560
ADORA1	26_973519_990540	0.00000
ADORA2A	15_8478601_8505833	0.97359
ADORA2B	19_6439175_6447413	0.00000
ADORA3	26_3165077_3167419	0.00000
ADPGK	10_1223158_1234987	10.26270
ADPRH	1_91602113_91612619	5.94380
ADPRHL1	1_136753713_136784008	0.00000
ADPRHL2	23_4092971_4097739	20.14230
ADRA1A	22_3932215_3953181	0.05227
ADRA1B	13_7334268_7351500	0.05807
ADRA1D	4_87863322_87903222	0.06505
ADRA2A	6_25774401_25777677	14.55700
ADRA2B	13_9452646_9455364	0.00000
ADRA2C	4_81138581_81143378	1.36021
ADRB1	6_27190002_27192291	2.58249
ADRB2	Un_30052729_30059136	0.05301
ADRBK1	Un_13738501_13743960	6.46012
ADRBK2	15_7005468_7046812	9.41744
ADRM1	20_8171796_8178696	85.09320
ADSL	1_49948587_49964180	105.07600
ADSS	3_34116280_34136893	43.42270
ADSSL1	5_51449224_51474312	10.89270
AEBP2	1_64688223_64737610	16.78360
AEN	10_12623999_12626689	18.83640
AES	28_1174650_1179353	68.41850
AFAP1	4_80114457_80172933	5.73772
AFAP1L1	13_7864702_7874029	2.42316
AFAP1L2	6_27287970_27334794	0.15558
AFF1	4_45161579_45220833	9.60313
AFF2	4_18141908_18461671	0.67695
AFF3	1_132016706_132349029	0.00000
AFF4	13_16460710_16510287	12.37310
AFG3L2	2_97095319_97118723	115.23600
AFMID	18_10139266_10142747	15.17350
AFP	4_50279531_50288720	0.40697
AFTPH	3_9641285_9684787	9.21250
AGA	4_41662544_41674476	11.13680
AGAP1	7_5131787_5427151	3.98442
AGAP3	2_185816_250518	42.61360
AGBL1	10_13115644_13402797	0.58682
AGBL2	5_100144_103177	0.00000
AGBL3	1_47787280_47812855	0.00000
AGBL4	8_21593373_22433154	0.21562
AGBL5	3_104124812_104133272	2.92576
AGFG1	9_8955952_8991504	43.55150
AGGF1	Z_23170500_23191490	6.56889
AGK	1_57426985_57469821	18.01230
AGMAT	21_4906426_4909427	17.02200
AGMO	2_27972316_28154082	1.13547
AGPAT1	27_1671778_1682193	0.04724
AGPAT2	17_7737252_7745230	28.32750
AGPAT3	1_109490415_109585448	31.20320
AGPAT4	3_44466149_44536089	7.43355
AGPAT5	3_87880494_87937108	16.55480
AGPAT6	22_2597436_2606625	16.35870
AGPAT9	4_45924716_45942347	20.48550
AGPHD1	10_3151804_3156695	1.96913
AGPS	7_15217238_15271234	9.00941
AGR2	2_28695883_28699943	0.00000
AGR3	2_28723240_28730052	0.90098
AGRN	21_2708870_2767191	1.88875
AGRP	11_1389698_1391291	1.11884
AGT	3_39792997_39804898	6.92979
AGTPBP1	Z_40524732_40576407	0.06732
AGTR1	9_11859036_11880012	0.00000
AGTR2	4_2987533_2991480	0.00000
AGTRAP,LOC100859440	21_5613934_5640393	69.85170
AGXT	9_4375555_4378679	0.48897
AGXT2	Z_10440898_10455544	12.52500
AGXT2L1	4_37104598_37117447	0.00000
AGXT2L2	13_13614701_13624353	0.00000
AHCTF1,LOC101748750	3_33115124_33190865	18.37790
AHCY	20_1837695_1861749	140.85300
AHCYL1	26_1251358_1261658	15.95910
AHCYL2	1_670684_709457	18.98040
AHI1	3_54854377_54942499	0.71955
AHR	2_28887222_28948183	110.39400
AHRR	2_88972121_89045510	50.82580
AHSA1	5_38509977_38515446	221.74200
AHSA2	3_2166398_2174721	51.33800
AHSG	9_15609043_15615536	3.25581
AICDA	1_75409233_75413213	0.00000
AIDA	3_17344932_17369849	13.82130
AIFM1	4_1555731_1567435	20.66910
AIFM2	6_11551162_11558237	0.00000
AIFM3	15_10038518_10063978	2.71752
AIG1	3_51786301_51906434	5.78226
AIM1	3_67544559_67640914	7.09423
AIM1L	23_188602_198699	0.06922
AIMP1	4_37847751_37878696	64.57540
AIMP2	14_974575_976298	119.43100
AIP	5_75089_76925	7.98813
AIPL1	4_2029758_2032607	0.22218
AIRE	9_378142_386310	2.67762
AJAP1	21_801928_839998	0.00000
AK1	17_4877425_4880796	19.34540
AK2	23_5274208_5281285	60.86820
AK3	Z_27311154_27328513	10.13050
AK4	8_27167596_27178122	21.26930
AK5	8_17980038_18066834	0.00000
AK7	5_45722662_45741830	0.15481
AK8	17_6651487_6714936	0.65901
AKAP1	19_8971892_8983229	49.75480
AKAP10	19_6775770_6792445	18.95410
AKAP11	1_165702939_165743400	5.71412
AKAP12	3_48104577_48135584	0.31522
AKAP13	10_13467116_13536691	28.83980
AKAP14	4_16450287_16452375	0.43079
AKAP17A	1_128396787_128405095	17.47140
AKAP2	Z_65644246_65663759	0.00000
AKAP5,MTHFD1	5_52826370_52872470	141.50800
AKAP6	5_34081173_34314726	0.49798
AKAP7	3_56878507_56951044	2.78191
AKAP8	W_random_735530_743880	14.15110
AKAP8L	W_random_725551_733583	23.46310
AKAP9	2_22520469_22619767	14.62400
AKD1	3_66269243_66325290	0.00000
AKIP1	5_9018974_9021355	2.88993
AKIRIN2	3_75766861_75783071	126.88200
AKNAD1	8_1290030_1303072	0.74580
AKR1A1	8_20056899_20074823	73.76900
AKR1B10	1_62590033_62598178	140.71000
AKR1B1L,LOC425137	1_62270796_62290998	101.53900
AKR1D1	1_56701679_56735736	0.00000
AKR7A2	21_4669150_4673135	60.42280
AKT1	5_51497645_51568124	27.97490
AKT3	3_34322330_34458208	2.18641
AKTIP	11_4460849_4469148	20.07640
ALAS1	12_2937526_2944369	446.02600
ALB	4_50253095_50265931	9.35056
ALC	17_10052528_10053722	0.51225
ALCAM	1_85893283_86009283	2.70696
ALDH18A1	6_34852098_34897809	31.66470
ALDH1A1	Z_35752272_35806349	8541.40000
ALDH1A2	10_6607107_6661316	5.64364
ALDH1A3	10_16932374_16967358	49.96670
ALDH1L2	1_54254013_54282440	4.01225
ALDH2	15_6202957_6211432	246.30600
ALDH3A2	19_6847090_6853176	46.82320
ALDH3B1	5_188599_195346	1.20318
ALDH4A1	21_4544947_4552622	45.73560
ALDH5A1	2_57898025_57908296	30.38440
ALDH6A1	5_37015080_37030917	59.33910
ALDH7A1	Z_78750380_78768480	64.07710
ALDH8A1	3_55104680_55115302	8.19136
ALDH9A1	8_5460656_5468336	136.03900
ALDOB	Z_64949131_64957855	428.24200
ALDOC,PIGS	19_5730520_5737591	623.08700
ALG1	14_13378354_13387191	19.39100
ALG10	1_15490949_15497448	12.39060
ALG11	1_169658560_169662401	6.76803
ALG12	1_18641890_18657301	44.01620
ALG13	4_13111484_13141385	13.85330
ALG14	8_12328472_12349659	3.93041
ALG2	2_89705822_89708103	22.24250
ALG3	9_15340409_15343005	11.83760
ALG5	1_171621740_171641137	18.08370
ALG6	8_26691297_26711655	13.49670
ALG8	1_192050287_192060744	14.12420
ALG9	24_6249881_6274694	23.26080
ALK	3_8072521_8387788	0.32696
ALKBH1	5_38619461_38632326	22.01530
ALKBH2	15_6642470_6644963	5.66376
ALKBH3	5_20943445_20959825	4.00224
ALKBH4	19_4152317_4154450	8.46359
ALKBH5	14_5030241_5047248	34.72850
ALKBH8	1_179797813_179857126	3.63349
ALMS1	4_89119737_89171564	3.68595
ALOX5	6_17178526_17201087	0.21812
ALOX5AP	1_174336820_174344801	0.00000
ALOXE3	Un_13657908_13662830	0.14886
ALPI	9_15040518_15043384	1.38444
ALPK1	4_56742100_56780151	0.17033
ALPK2	Z_768081_807313	0.00000
ALPK3	10_388932_419231	0.05899
ALPL	21_6592492_6597719	6.28958
ALPP	9_15043776_15046934	0.79523
ALS2	7_11044387_11082486	2.64300
ALS2CL,MIR1639	2_3220583_3279364	0.00000
ALS2CR8	7_11481379_11507419	1.51852
ALX1	1_41746811_41769814	0.00000
ALX3	26_1271167_1273801	0.00000
ALX4	5_21103936_21129957	19.39420
ALYREF	18_10214964_10219760	153.63700
AMACR	Z_10206343_10227287	2.44786
AMBP	17_635102_640364	2.02159
AMBRA1	5_22806831_22933273	11.43410
AMD1	3_65744040_65761269	189.94600
AMDHD1	1_45540906_45548747	12.24670
AMDHD2	14_13893398_13900238	8.11871
AMER3	9_2010341_2045529	0.00000
AMFR	11_2154519_2175193	86.18030
AMH	28_1956621_1960825	0.25062
AMICA1	24_5452775_5456601	0.00000
AMIGO2	1_31191403_31200927	7.54558
AMIGO3	12_2373960_2382421	2.82736
AMMECR1	4_13580754_13652593	6.80560
AMMECR1L	9_982904_993748	8.62190
AMN	5_49792169_49808921	5.96075
AMN1	1_59519369_59546111	0.00000
AMOT	4_12913719_12976053	20.09670
AMOTL1	1_184757563_184817416	1.91247
AMOTL2	9_3966032_3972456	2.04385
AMPD1	26_3833680_3843753	0.44170
AMPD2	Un_31098877_31102026	7.81140
AMPD3	5_8361713_8387323	3.58819
AMPH	2_49737406_49842302	1.97094
AMT	12_2435879_2437477	26.48960
AMY1A	8_10001374_10007677	0.98527
AMY2A	8_41587_46009	0.66790
AMYP	8_48194_48569	0.00000
AMZ1	14_3359701_3366900	0.00000
ANAPC1	3_3088598_3122633	9.06769
ANAPC10	4_30422020_30455262	2.18280
ANAPC13	9_3164104_3167852	3.32918
ANAPC15	Un_15987178_15989203	36.58450
ANAPC16	6_11030892_11038012	28.62370
ANAPC2	17_1782950_1792711	12.17350
ANAPC4	4_73093426_73110519	3.89190
ANAPC5	15_5446345_5457999	27.28080
ANAPC7	15_5280994_5288858	6.76014
ANG	6_8796398_8797835	0.00000
ANGEL1	5_38164351_38173193	21.42950
ANGEL2	3_21069051_21081092	13.25780
ANGPT1	2_130948994_131113554	0.00000
ANGPT2	3_88023370_88047355	0.00000
ANGPT4	20_10237583_10245267	0.11290
ANGPTL1	8_6315566_6329834	0.00000
ANGPTL2	17_10302952_10320687	0.29934
ANGPTL3	8_26448692_26455176	0.00000
ANGPTL4	28_850158_858513	22.88500
ANGPTL5	1_182045780_182059847	0.00000
ANGPTL6	19_random_60555_65133	0.18785
ANGPTL7	21_4168834_4176267	0.00000
ANK1	22_2611620_2660633	0.00000
ANK2	4_56332864_56487700	0.25392
ANK3	6_8319310_8519828	2.61992
ANKDD1A	10_17199729_17220109	0.00000
ANKDD1B	Z_23703702_23727525	0.33605
ANKFN1	18_6019307_6141598	0.00000
ANKFY1	19_3170602_3202574	19.14860
ANKH	2_76201668_76238843	96.87610
ANKHD1	13_990191_1090812	26.59210
ANKIB1	2_22659574_22743558	19.70330
ANKK1	24_5769162_5775769	0.10376
ANKLE1	Un_34756153_34758771	3.49034
ANKLE2	15_1414545_1433998	43.83410
ANKMY1	17_245577_272643	0.31648
ANKMY2	2_28587648_28608615	13.35920
ANKRA2	Z_24576662_24583686	24.50090
ANKRD1	6_19193678_19202367	0.65654
ANKRD10	1_138576010_138610276	37.59140
ANKRD11	11_18078930_18166324	48.86080
ANKRD12	2_98461590_98504449	14.31680
ANKRD13A	15_random_116250_128706	21.11980
ANKRD13B	19_6072623_6078362	0.63283
ANKRD13C	8_27928430_27951890	21.81620
ANKRD16	1_995795_1011804	1.70777
ANKRD17	4_50147039_50226119	27.86400
ANKRD2	6_21864392_21867045	3.31437
ANKRD22	6_18723703_18733422	22.75680
ANKRD24	28_2537067_2545284	0.59599
ANKRD26	1_24064660_24112807	1.73159
ANKRD27	11_9345139_9384567	8.34024
ANKRD28	2_34543924_34613600	5.80126
ANKRD29	2_102742147_102774680	0.12055
ANKRD31	Z_23891906_23945893	0.00000
ANKRD32	Z_57631692_57672860	1.67997
ANKRD33	Un_6396810_6401455	0.00000
ANKRD33B	2_78171589_78212497	2.01913
ANKRD34B	Z_63904355_63916933	0.38052
ANKRD34C	10_19471335_19475695	0.00000
ANKRD40	18_10407625_10414274	6.26289
ANKRD42	1_188351222_188372059	0.00000
ANKRD44	7_9556129_9626851	13.61040
ANKRD46	2_128328386_128344975	32.43850
ANKRD47	28_880767_886837	8.21432
ANKRD49	1_184878265_184880753	7.55609
ANKRD50	4_52292595_52333228	1.37448
ANKRD52	Un_11749116_11764507	16.23880
ANKRD54	1_50963657_50969155	21.25470
ANKRD55	Z_16948236_17002114	0.00000
ANKRD6	3_74952400_75057653	0.39729
ANKRD60	20_11597600_11609822	0.65477
ANKRD9	5_49550510_49551989	2.95454
ANKS1A	26_4127868_4213492	3.56073
ANKS1B	1_46575322_46987655	0.24393
ANKS3	14_12831290_12847153	12.04640
ANKS4B	14_15068795_15074718	1.50939
ANKS6	2_87823556_87864948	2.82246
ANKZF1	7_21714268_21721636	5.37224
ANLN	2_47315886_47343644	7.11683
ANO1	5_17034147_17107190	0.24192
ANO10	2_41478585_41596751	7.46072
ANO2	1_74135417_74335675	0.00000
ANO3	5_3278737_3399446	0.58973
ANO4	1_47294436_47464443	0.11226
ANO5	5_2742218_2792484	28.57510
ANO6	1_30542115_30611361	0.00000
ANO8	Un_34781646_34788063	1.40600
ANO9	5_1534461_1551962	1.15851
ANP32A	10_18730551_18750042	69.53060
ANP32B	28_1712046_1720859	156.43700
ANP32E	25_29850_41894	187.43000
ANPEP	10_19488688_19494098	32.60730
ANTXR1	22_144505_238525	0.42163
ANTXR2	4_44619505_44720786	14.62340
ANTXRL	6_17450021_17502148	0.00000
ANXA1	Z_35885138_35899221	2.00512
ANXA10	4_24393293_24416111	0.00000
ANXA11	6_4642947_4662218	49.44140
ANXA13	2_137710013_137733434	12.66030
ANXA2	10_4583466_4605541	92.94490
ANXA5	4_53390323_53412776	106.97600
ANXA6	13_12350518_12362979	0.58718
ANXA7	6_15751988_15766601	23.47200
ANXA8	6_17425047_17439032	6.77040
AOAH	2_47245194_47314251	0.79576
AOC3	27_5068100_5081524	8.61753
AOX1	7_10696458_10732714	1.70018
AOX2P	7_10736835_10779412	1.57327
AP1AR	4_56790335_56808875	13.86900
AP1B1	15_11128518_11141636	35.16800
AP1G1	11_19195951_19237680	56.99860
AP1M1	28_4172346_4180115	51.18390
AP1S2	1_121232734_121266588	19.33380
AP1S3	9_7749591_7765345	1.27628
AP2A2	5_14460719_14503618	15.20840
AP2B1	19_4390997_4455903	46.97550
AP2M1	9_15293531_15316234	141.78600
AP3B1	Z_22648911_22808249	12.10310
AP3B2	10_863825_874804	0.09680
AP3D1	28_2034795_2061870	24.53100
AP3M1	6_14947871_14957093	45.25860
AP3M2,LOC101749237	22_2694364_2706663	18.80760
AP3S1	Z_72727219_72756256	49.49900
AP3S2	10_19497716_19501385	12.12820
AP4B1	26_3705331_3711908	10.08770
AP4E1	10_8625143_8643957	3.46715
AP4S1	5_33598173_33615588	0.00000
AP5Z1,FOXK1	14_3972226_4010705	22.54020
APAF1	1_46536961_46564629	12.44780
APBA1	Z_34562197_34639842	1.66492
APBA2	10_5307068_5395570	1.15448
APBA3	28_985467_990848	7.24247
APBB1	1_193600905_193605005	2.22019
APBB1IP	2_16026710_16084527	1.82588
APBB2	4_68269166_68422261	10.05870
APBB3	13_1095131_1095972	10.09750
APC	Z_45849956_45938443	7.90446
APC2	28_3100776_3113690	0.34162
APCDD1	2_98186564_98217424	329.22600
APCDD1L	20_11503292_11519047	0.80144
APEH	12_2487789_2491567	10.88610
APEX1	Un_8383343_8387665	29.05670
APH1A	Z_9080423_9084896	11.63430
API5	5_20702879_20717748	40.53690
APIP	5_18139112_18152065	5.11213
APITD1	21_3730259_3733060	10.23130
APLF	3_11243875_11265281	3.42059
APLN	4_1624593_1625277	0.00000
APLNR	5_16355307_16356756	0.00000
APLP2	24_1437732_1478975	127.48900
APOA1	24_5106237_5107725	55.63950
APOA1BP	Un_8350922_8351979	41.89070
APOA4	24_5102813_5104283	16.55810
APOA5,ZNF259	24_5094901_5101698	23.81460
APOB	3_101882030_101916285	27.72680
APOBEC2	26_4648330_4656180	0.50512
APOBEC4	8_7610321_7612432	0.00000
APOC3	24_5104892_5105757	73.36370
APOD	9_12153803_12156761	0.42598
APOH	18_7724231_7729826	227.48600
APOLD1	1_48046869_48051927	0.00000
APOO	1_117716884_117748286	10.85240
APOOL	4_8699337_8712438	5.38538
APOPT1	5_50312005_50320946	8.56142
APOV1	1_82608974_82611901	0.00000
APP	1_101945901_102105675	254.01600
APPBP2	19_7979095_7997167	20.22330
APPL1	12_8596911_8626867	7.03138
APPL2	1_54174511_54207753	4.10770
APRT	11_17936897_17939606	37.94450
APTX	Z_70408806_70417800	22.86190
AQP1	2_1094896_1112059	0.00000
AQP10	25_1293953_1299290	2.52250
AQP11	1_192204114_192220673	0.00000
AQP12	9_4130739_4132590	0.00000
AQP2	LGE22C19W28_E50C23_818463_823659	0.00000
AQP3	Z_7054068_7068280	0.00000
AQP4	2_104099974_104109636	0.00000
